SYMBOL_ID,SYMBOL_NAME
1874,BOLD
1875,BOLT
1876,BOMN
1877,BONT
1878,BOOM
1879,BOOT
1880,BORN
1881,BOSC
1882,BOSS
1883,BOTJ
1884,BOTZ
1885,BOX
1886,BOXL
1887,BP
1888,BPFH
1889,BPFHP
1890,BPFHW
1891,BPI
1892,BPK
1893,BPL
1894,BPMC
1895,BPMP
1896,BPMX
1897,BPOP
1898,BPOPM
1899,BPOPN
1900,BPRN
1901,BPT
1902,BPTH
1903,BPY
1904,BQH
1905,BR
1906,BRAC
1907,BRACR
1908,BRACU
1909,BRACW
1910,BRC
1911,BRCD
1912,BREW
1913,BRFS
1914,BRG
1915,BRGL
1916,BRG_A
1917,BRG_C
1918,BRG_D
1919,BRID
1920,BRK-A
1921,BRK-B
1922,BRKL
1923,BRKR
1924,BRKS
1925,BRN
1926,BRO
1927,BRQS
1928,BRQSW
1929,BRS
1930,BRSS
1931,BRT
1932,BRX
1933,BSAC
1934,BSBR
1935,BSCP
1936,BSCQ
1937,BSCR
1938,BSD
1939,BSE
1940,BSET
1941,BSF
1942,BSFT
1943,BSJN
1944,BSJO
1945,BSJP
1946,BSL
1947,BSM
1948,BSMX
1949,BSPM
1950,BSQR
1951,BSRR
1952,BST
1953,BSTC
1954,BSTI
1955,BSWN
1956,BSX
1957,BT
1958,BTA
1959,BTE
1960,BTEC
1961,BTG
1962,BTI
1963,BTN
1964,BTO
1965,BTT
1966,BTU
1967,BTU_
1968,BTX-WS
1969,BTX
1970,BTZ
1971,BUD
1972,BUFF
1973,BUI
1974,BUR
1975,BURL
1976,BUSE
1977,BUZ
1978,BV
1979,BVAL
1980,BVN
1981,BVSN
1982,BVX
1983,BVXV
1984,BVXVW
1985,BW
1986,BWA
1987,BWEN
1988,BWFG
1989,BWG
1990,BWINA
1991,BWINB
1992,BWL-A
1993,BWLD
1994,BWP
1995,BWXT
1996,BX
1997,BXC
1998,BXE
1999,BXG
2000,BXMT
2001,BXMX
2002,BXP
2003,BXP_B
2004,BXS
2005,BY
2006,BYBK
2007,BYD
2008,BYFC
2009,BYM
2010,BYSI
2011,BZH
2012,BZM
2013,BZUN
2014,C-WS-A
2015,C
2016,CA
2017,CAA
2018,CAAS
2019,CABO
2020,CAC
2021,CACC
2022,CACG
2023,CACI
2024,CADC
2025,CADE
2026,CAE
2027,CAF
2028,CAFD
2029,CAG
